('Test', 0, 'Prediction:', 7, 'True Label:', 7)
('Test', 1, 'Prediction:', 4, 'True Label:', 4)
('Test', 2, 'Prediction:', 7, 'True Label:', 7)
('Test', 3, 'Prediction:', 0, 'True Label:', 0)
('Test', 4, 'Prediction:', 9, 'True Label:', 9)
('Test', 5, 'Prediction:', 4, 'True Label:', 4)
('Test', 6, 'Prediction:', 1, 'True Label:', 1)
('Test', 7, 'Prediction:', 0, 'True Label:', 8)
('Test', 8, 'Prediction:', 7, 'True Label:', 3)
('Test', 9, 'Prediction:', 6, 'True Label:', 6)
('Test', 10, 'Prediction:', 2, 'True Label:', 2)
('Test', 11, 'Prediction:', 1, 'True Label:', 1)
('Test', 12, 'Prediction:', 1, 'True Label:', 1)
('Test', 13, 'Prediction:', 7, 'True Label:', 7)
('Test', 14, 'Prediction:', 2, 'True Label:', 3)
('Test', 15, 'Prediction:', 7, 'True Label:', 7)
('Test', 16, 'Prediction:', 3, 'True Label:', 3)
('Test', 17, 'Prediction:', 7, 'True Label:', 9)
('Test', 18, 'Prediction:', 1, 'True Label:', 2)
('Test', 19, 'Prediction:', 4, 'True Label:', 4)
('Test', 20, 'Prediction:', 5, 'True Label:', 8)
('Test', 21, 'Prediction:', 0, 'True Label:', 0)
('Test', 22, 'Prediction:', 2, 'True Label:', 2)
('Test', 23, 'Prediction:', 0, 'True Label:', 0)
('Test', 24, 'Prediction:', 1, 'True Label:', 1)
('Test', 25, 'Prediction:', 1, 'True Label:', 1)
('Test', 26, 'Prediction:', 8, 'True Label:', 8)
('Test', 27, 'Prediction:', 9, 'True Label:', 9)
('Test', 28, 'Prediction:', 3, 'True Label:', 3)
('Test', 29, 'Prediction:', 3, 'True Label:', 3)
('Test', 30, 'Prediction:', 3, 'True Label:', 3)
('Test', 31, 'Prediction:', 0, 'True Label:', 9)
('Test', 32, 'Prediction:', 8, 'True Label:', 8)
('Test', 33, 'Prediction:', 7, 'True Label:', 7)
('Test', 34, 'Prediction:', 0, 'True Label:', 5)
('Test', 35, 'Prediction:', 5, 'True Label:', 5)
('Test', 36, 'Prediction:', 3, 'True Label:', 3)
('Test', 37, 'Prediction:', 1, 'True Label:', 1)
('Test', 38, 'Prediction:', 2, 'True Label:', 2)
('Test', 39, 'Prediction:', 6, 'True Label:', 6)
('Test', 40, 'Prediction:', 7, 'True Label:', 7)
('Test', 41, 'Prediction:', 9, 'True Label:', 9)
('Test', 42, 'Prediction:', 8, 'True Label:', 8)
('Test', 43, 'Prediction:', 7, 'True Label:', 9)
('Test', 44, 'Prediction:', 3, 'True Label:', 3)
('Test', 45, 'Prediction:', 9, 'True Label:', 9)
('Test', 46, 'Prediction:', 8, 'True Label:', 8)
('Test', 47, 'Prediction:', 4, 'True Label:', 4)
('Test', 48, 'Prediction:', 9, 'True Label:', 9)
('Test', 49, 'Prediction:', 2, 'True Label:', 2)
('Test', 50, 'Prediction:', 3, 'True Label:', 3)
('Test', 51, 'Prediction:', 2, 'True Label:', 2)
('Test', 52, 'Prediction:', 8, 'True Label:', 8)
('Test', 53, 'Prediction:', 6, 'True Label:', 6)
('Test', 54, 'Prediction:', 4, 'True Label:', 4)
('Test', 55, 'Prediction:', 4, 'True Label:', 4)
('Test', 56, 'Prediction:', 8, 'True Label:', 8)
('Test', 57, 'Prediction:', 0, 'True Label:', 0)
('Test', 58, 'Prediction:', 7, 'True Label:', 3)
('Test', 59, 'Prediction:', 5, 'True Label:', 5)
('Test', 60, 'Prediction:', 0, 'True Label:', 0)
('Test', 61, 'Prediction:', 8, 'True Label:', 8)
('Test', 62, 'Prediction:', 5, 'True Label:', 5)
('Test', 63, 'Prediction:', 3, 'True Label:', 3)
('Test', 64, 'Prediction:', 3, 'True Label:', 3)
('Test', 65, 'Prediction:', 6, 'True Label:', 6)
